Generation,Max,Mean,Median,Min
0,-147.2600,-198.8564,-200.0000,-200.0000
1,-140.7800,-198.0396,-200.0000,-200.0000
2,-135.9000,-196.7488,-200.0000,-200.0000
3,-136.2400,-194.4066,-200.0000,-200.0000
4,-130.4800,-191.1292,-200.0000,-200.0000
5,-122.5800,-186.1694,-198.1600,-200.0000
6,-113.8000,-177.7398,-186.8600,-200.0000
7,-116.0000,-167.0998,-167.3400,-200.0000
8,-114.1600,-156.7100,-153.9800,-200.0000
9,-111.8000,-153.0290,-147.7200,-200.0000
10,-111.2200,-147.6408,-141.7600,-200.0000
11,-110.4200,-144.4458,-136.4100,-200.0000
12,-110.6800,-143.9098,-134.3500,-200.0000
13,-111.0800,-140.9800,-131.3100,-200.0000
14,-111.4200,-139.6036,-130.2800,-200.0000
15,-109.3800,-140.3138,-129.0800,-200.0000
16,-109.8800,-138.5900,-128.2600,-200.0000
17,-110.8000,-136.8444,-127.5100,-200.0000
18,-107.9600,-138.1884,-127.3900,-200.0000
19,-108.6200,-138.4434,-126.6200,-200.0000
20,-110.2000,-135.1152,-126.1500,-200.0000
21,-109.6400,-136.9396,-126.4000,-200.0000
22,-108.0600,-135.8072,-126.3900,-200.0000
23,-107.4400,-137.5702,-126.5300,-200.0000
24,-108.2200,-136.7758,-125.8500,-200.0000
25,-107.3600,-135.2724,-126.0000,-200.0000
26,-107.4600,-134.7038,-125.5000,-200.0000
27,-107.2400,-135.3478,-124.1200,-200.0000
28,-107.2400,-133.9520,-123.5200,-200.0000
29,-107.2400,-135.3022,-123.9400,-200.0000
30,-108.1200,-132.1862,-123.8800,-200.0000
31,-107.3600,-131.6392,-123.2600,-200.0000
32,-107.1800,-132.2048,-123.6200,-200.0000
33,-107.4200,-131.1670,-123.2400,-200.0000
34,-107.3200,-132.0660,-123.1600,-200.0000
35,-107.1600,-131.6048,-123.0800,-200.0000
36,-107.9000,-129.9580,-122.4500,-197.7200
37,-106.8800,-131.1972,-122.2800,-200.0000
38,-108.2200,-129.5170,-122.4700,-200.0000
39,-106.8000,-129.6010,-122.0600,-200.0000
40,-107.1000,-130.2330,-122.2300,-200.0000
41,-108.1000,-129.9540,-122.2500,-200.0000
42,-106.9000,-129.8734,-122.3600,-197.3800
43,-106.9000,-129.6038,-122.0700,-200.0000
44,-107.3600,-130.1622,-122.0300,-200.0000
45,-106.9800,-129.5466,-122.4000,-200.0000
46,-107.1200,-130.2848,-122.1200,-200.0000
47,-106.8400,-130.3336,-122.3300,-200.0000
48,-106.9800,-128.9738,-122.2900,-200.0000
49,-107.3400,-129.2868,-123.1800,-200.0000
50,-107.0200,-130.7394,-122.9600,-200.0000
51,-107.1200,-130.8232,-122.9500,-200.0000
52,-107.8800,-130.4052,-122.2000,-200.0000
53,-107.1600,-129.0214,-121.7800,-200.0000
54,-107.1400,-129.8846,-122.2000,-200.0000
55,-106.7800,-130.4204,-122.9700,-200.0000
56,-106.9000,-130.6972,-122.4100,-200.0000
57,-107.3400,-127.9828,-121.3700,-200.0000
58,-107.0800,-129.4644,-122.0200,-200.0000
59,-106.9800,-128.7068,-121.6100,-200.0000
60,-107.1200,-127.6184,-122.0900,-200.0000
61,-107.1200,-128.2956,-121.3300,-200.0000
62,-107.0600,-129.2262,-121.6300,-200.0000
63,-107.3600,-128.8000,-121.5700,-200.0000
64,-107.3800,-128.2434,-121.5400,-200.0000
65,-107.0400,-128.0978,-120.8800,-199.9400
66,-107.1200,-128.2124,-120.8200,-200.0000
67,-107.3800,-128.7196,-120.7600,-200.0000
68,-106.8800,-127.0206,-119.7800,-200.0000
69,-107.4200,-127.9458,-120.9300,-200.0000
70,-107.4400,-127.6984,-121.3600,-200.0000
71,-107.5200,-127.6352,-121.3900,-200.0000
72,-107.4600,-126.7986,-120.5000,-200.0000
73,-107.2600,-128.4960,-121.7400,-200.0000
74,-107.5800,-128.9330,-121.3100,-200.0000
75,-107.7200,-126.9282,-120.7300,-200.0000
76,-107.5000,-127.7386,-120.8500,-200.0000
77,-107.4000,-127.4444,-120.4500,-200.0000
78,-107.4000,-127.3788,-120.3000,-200.0000
79,-107.3200,-127.6434,-120.4100,-200.0000
80,-107.8200,-126.4820,-120.4000,-199.7800
81,-107.7800,-126.8866,-120.1500,-200.0000
82,-107.5200,-126.9112,-120.1400,-200.0000
83,-107.6200,-127.6986,-120.1900,-200.0000
84,-107.1600,-127.9976,-120.8700,-200.0000
85,-106.9000,-127.3250,-120.5200,-200.0000
86,-106.6400,-127.1802,-119.9500,-200.0000
87,-107.0000,-126.6212,-120.7200,-200.0000
88,-106.7000,-127.0610,-120.5600,-200.0000
89,-106.9000,-126.3396,-119.8800,-196.9000
90,-106.9400,-127.0148,-119.9500,-200.0000
91,-107.1400,-125.9496,-120.1000,-200.0000
92,-106.6800,-127.0402,-120.2600,-200.0000
93,-106.6800,-127.4314,-119.9800,-200.0000
94,-106.8000,-127.3154,-120.5300,-198.2400
95,-107.1600,-127.7486,-120.4700,-200.0000
96,-106.6600,-126.7210,-119.7800,-200.0000
97,-106.4000,-126.7944,-120.1900,-200.0000
98,-106.4200,-126.5638,-120.1500,-200.0000
99,-106.4200,-126.8950,-120.1000,-200.0000
